id,name,supercategory,level,taxonomy_id
0,classic (t-shirt),nickname,1,att000002_00
1,polo (shirt),nickname,1,att000003_00
2,undershirt,nickname,1,att000004_00
3,henley (shirt),nickname,1,att000005_00
4,ringer (t-shirt),nickname,1,att000006_00
5,raglan (t-shirt),nickname,1,att000007_00
6,rugby (shirt),nickname,1,att000008_00
7,sailor (shirt),nickname,1,att000009_00
8,crop (top),nickname,1,att000010_00
9,halter (top),nickname,1,att000011_00
10,camisole,nickname,1,att000012_00
11,tank (top),nickname,1,att000013_00
12,peasant (top),nickname,1,att000014_00
13,tube (top),nickname,1,att000015_00
14,tunic (top),nickname,1,att000016_00
15,smock (top),nickname,1,att000017_00
16,hoodie,nickname,1,att000018_00
17,blazer,nickname,1,att000019_00
18,pea (jacket),nickname,1,att000020_00
19,puffer (jacket),nickname,1,att000021_00
20,biker (jacket),nickname,1,att000022_00
21,trucker (jacket),nickname,1,att000023_00
22,bomber (jacket),nickname,1,att000024_00
23,anorak,nickname,1,att000025_00
24,safari (jacket),nickname,1,att000026_00
25,mao (jacket),nickname,1,att000027_00
26,nehru (jacket),nickname,1,att000028_00
27,norfolk (jacket),nickname,1,att000029_00
28,classic military (jacket),nickname,1,att000030_00
29,track (jacket),nickname,1,att000031_00
30,windbreaker,nickname,1,att000032_00
31,chanel (jacket),nickname,1,att000033_00
32,bolero,nickname,1,att000034_00
33,tuxedo (jacket),nickname,1,att000035_00
34,varsity (jacket),nickname,1,att000036_00
35,crop (jacket),nickname,1,att000037_00
36,jeans,nickname,1,att000038_00
37,sweatpants,nickname,1,att000039_00
38,leggings,nickname,1,att000040_00
39,hip-huggers (pants),nickname,1,att000041_00
40,cargo (pants),nickname,1,att000042_00
41,culottes,nickname,1,att000043_00
42,capri (pants),nickname,1,att000044_00
43,harem (pants),nickname,1,att000045_00
44,sailor (pants),nickname,1,att000046_00
45,jodhpur,nickname,1,att000047_00
46,peg (pants),nickname,1,att000048_00
47,camo (pants),nickname,1,att000049_00
48,track (pants),nickname,1,att000050_00
49,crop (pants),nickname,1,att000051_00
50,short (shorts),nickname,1,att000052_00
51,booty (shorts),nickname,1,att000053_00
52,bermuda (shorts),nickname,1,att000054_00
53,cargo (shorts),nickname,1,att000055_00
54,trunks,nickname,1,att000056_00
55,boardshorts,nickname,1,att000057_00
56,skort,nickname,1,att000058_00
57,roll-up (shorts),nickname,1,att000059_00
58,tie-up (shorts),nickname,1,att000060_00
59,culotte (shorts),nickname,1,att000061_00
60,lounge (shorts),nickname,1,att000062_00
61,bloomers,nickname,1,att000063_00
62,tutu (skirt),nickname,1,att000064_00
63,kilt,nickname,1,att000065_00
64,wrap (skirt),nickname,1,att000066_00
65,skater (skirt),nickname,1,att000067_00
66,cargo (skirt),nickname,1,att000068_00
67,hobble (skirt),nickname,1,att000069_00
68,sheath (skirt),nickname,1,att000070_00
69,ball gown (skirt),nickname,1,att000071_00
70,gypsy (skirt),nickname,1,att000072_00
71,rah-rah (skirt),nickname,1,att000073_00
72,prairie (skirt),nickname,1,att000074_00
73,flamenco (skirt),nickname,1,att000075_00
74,accordion (skirt),nickname,1,att000076_00
75,sarong (skirt),nickname,1,att000077_00
76,tulip (skirt),nickname,1,att000078_00
77,dirndl (skirt),nickname,1,att000079_00
78,godet (skirt),nickname,1,att000080_00
79,blanket (coat),nickname,1,att000081_00
80,parka,nickname,1,att000082_00
81,trench (coat),nickname,1,att000083_00
82,pea (coat),nickname,1,att000084_00
83,shearling (coat),nickname,1,att000085_00
84,teddy bear (coat),nickname,1,att000086_00
85,puffer (coat),nickname,1,att000087_00
86,duster (coat),nickname,1,att000088_00
87,raincoat,nickname,1,att000089_00
88,kimono,nickname,1,att000090_00
89,robe,nickname,1,att000091_00
90,dress (coat ),nickname,1,att000092_00
91,duffle (coat),nickname,1,att000093_00
92,wrap (coat),nickname,1,att000094_00
93,military (coat),nickname,1,att000095_00
94,swing (coat),nickname,1,att000096_00
95,halter (dress),nickname,1,att000097_00
96,wrap (dress),nickname,1,att000098_00
97,chemise (dress),nickname,1,att000099_00
98,slip (dress),nickname,1,att000100_00
99,cheongsams,nickname,1,att000101_00
100,jumper (dress),nickname,1,att000102_00
101,shift (dress),nickname,1,att000103_00
102,sheath (dress),nickname,1,att000104_00
