query,precision@10,recall@10,mAP,MRR,NDCG
blue denim jacket,0.7,0.03431372549019608,0.855952380952381,1.0,0.9530418785472456
black leather jacket,0.7,0.03431372549019608,0.6899659863945579,1.0,0.859193553938637
white sneakers,0.0,0.0,0.0,0.0,0.0
red floral dress,0.9,0.026470588235294117,0.8782627865961198,1.0,0.950420626211048
green hoodie,0.0,0.0,0.0,0.0,0.0
casual jeans,0.0,0.0,0.0,0.0,0.0
formal blazer,0.0,0.0,0.0,0.0,0.0
summer dress,0.9,0.026470588235294117,0.9467813051146384,1.0,0.9842184869190971
long sleeve shirt,1.0,0.013550135501355014,1.0,1.0,1.0
black handbag,0.0,0.0,0.0,0.0,0.0
